ticker,potencial_2026,prioridade,alocacao_%,retorno_proj_%,pct_dias_alta_%,sharpe_proj,acuracia_hist_%,preco_atual,preco_proj_dez26
CXSE3.SA,86.4,🌟 ALTA,9.79,147.98,99.6,29.418,55.02,17.44,43.2479
ANIM3.SA,86.3,🌟 ALTA,9.78,2103.05,100.0,66.497,54.22,3.31,72.921
EGIE3.SA,86.3,🌟 ALTA,9.78,636.2,100.0,130.502,54.22,32.32,237.9391
BSLI4.SA,86.2,🌟 ALTA,9.77,1014.26,98.8,16.996,54.62,3.81,42.4535
GRND3.SA,86.0,🌟 ALTA,9.75,129.48,96.2,19.688,55.42,4.04,9.2711
WIZC3.SA,85.9,🌟 ALTA,9.74,160.41,96.5,21.096,54.62,7.8,20.3121
ESPA3.SA,84.1,🌟 ALTA,9.53,146.39,85.8,19.008,54.22,0.81,1.9957
BRGE12.SA,45.6,⚪ BAIXA,5.17,-2.4,15.0,-16.77,89.02,13.47,13.1461
GGPS3.SA,26.2,⚪ BAIXA,2.97,-37.95,36.5,-6.65,55.02,12.4,7.6939
COGN3.SA,20.4,⚪ BAIXA,2.31,-51.3,26.5,-9.865,54.62,2.53,1.2321
INTB3.SA,20.3,⚪ BAIXA,2.3,-44.43,10.8,-16.96,55.82,14.01,7.7851
RDOR3.SA,17.8,⚪ BAIXA,2.02,-67.83,7.7,-29.458,55.42,34.47,11.0883
MATD3.SA,17.8,⚪ BAIXA,2.02,-90.29,2.3,-41.44,58.23,5.2,0.5049
ENGI11.SA,17.1,⚪ BAIXA,1.94,-48.75,1.9,-43.152,54.62,48.4,24.8074
DASA3.SA,16.7,⚪ BAIXA,1.89,-99.99,0.0,-84.263,55.82,3.29,0.0002
BRKM5.SA,16.7,⚪ BAIXA,1.89,-99.57,0.0,-63.017,55.82,11.13,0.0476
BHIA3.SA,16.6,⚪ BAIXA,1.88,-96.81,0.0,-60.729,55.42,1.38,0.044
ABEV3.SA,16.6,⚪ BAIXA,1.88,-50.04,0.8,-24.679,55.02,16.29,8.1378
TIMS3.SA,16.5,⚪ BAIXA,1.87,-95.07,0.0,-134.684,55.02,22.34,1.1007
VBBR3.SA,16.5,⚪ BAIXA,1.87,-97.0,0.0,-137.988,55.02,30.91,0.9281
CSAN3.SA,16.3,⚪ BAIXA,1.85,-98.93,0.4,-68.522,54.22,3.94,0.0423
